locality,region,query_used,score,latitude,longitude,resolved_name,admin1,admin2,country,geocode_status
Анастасиевская ст-ца,Краснодарский край,,,,,,,,,not_found
Ангарск г,Иркутская обл,ангарск,15.24014708293357,52.55968,103.91413,Ангарск,Иркутская Область,,Россия,ok
Андреаполь г,Тверская обл,андреаполь,14.912804512924936,56.65087,32.264,Андреаполь,Тверская Область,,Россия,ok
Андреево п,Владимирская обл,андреево,14.855737498104906,55.9465,41.1505,Андреево,Владимирская область,,Россия,ok
Андреевское д,Московская обл,андреевское,14.990353755128616,55.55487,37.92566,Андреевское,Московская область,,Россия,ok
Андрейково с,Смоленская обл,андрейково,8.0,59.07089,40.2487,Андрейково,Вологодская Область,,Россия,ok
Анжеро-Судженск г,Кемеровская область - Кузбасс обл,,,,,,,,,not_found
Анкудиновка д,Нижегородская обл,анкудиновка,14.0,56.24398,44.04586,Анкудиновка,Нижегородская Область,,Россия,ok
Анна пгт,Воронежская обл,анна,14.986000577392415,51.49007,40.42236,Анна,Воронежская Область,,Россия,ok
Аннино п,Ленинградская обл,аннино,14.81065145162552,59.77056,30.05611,Аннино,Ленинградская область,,Россия,ok
Аннолово д,Ленинградская обл,аннолово,14.0,59.63389,30.54,Аннолово,Ленинградская область,,Россия,ok
Анопино п,Владимирская обл,анопино,14.75873105060226,55.69809,40.66707,Анопино,Владимирская область,,Россия,ok
Анциферово д,Московская обл,анциферово,14.58636311755981,55.55611,38.81448,Анциферово,Московская область,,Россия,ok
Апастово пгт,Татарстан Респ,апастово,14.842858053305964,55.20123,48.51127,Апастово,Татарстан,Apastovsky District,Россия,ok
Апатиты г,Мурманская обл,апатиты,15.10216900276358,67.58267,33.41339,Апатиты,Мурманская Область,,Россия,ok
Апрелевка г,Московская обл,апрелевка,14.978588575045595,55.55194,37.0801,Апрелевка,Московская область,Наро-Фоминский Район,Россия,ok
Апшеронск г,Краснодарский край,апшеронск,15.060787136502206,44.4599,39.73005,Апшеронск,Краснодарский край,,Россия,ok
Арамашево с,Свердловская обл,арамашево,14.657088296233958,57.6079,61.72941,Арамашево,Свердловская Область,,Россия,ok
Арамиль г,Свердловская обл,арамиль,14.963154758703295,56.6977,60.8369,Арамиль,Свердловская Область,,Россия,ok
Аргаяш с,Челябинская обл,аргаяш,14.921999362900433,55.48847,60.87364,Аргаяш,Челябинская,,Россия,ok
Ардатов г,Мордовия Респ,ардатов,14.905777177333157,54.84474,46.24399,Ардатов,Мордовия,Ардатовский Район,Россия,ok
Ардатов рп,Нижегородская обл,ардатов,14.907234187381889,55.23923,43.09557,Ардатов,Нижегородская Область,Ардатовский Район,Россия,ok
Ардон г,Северная Осетия - Алания Респ,ардон,8.981542107366767,43.17888,44.29464,Ардон,Северная Осетия,,Россия,ok
Арефино с,Ярославская обл,арефино,14.0,58.23608,39.24204,Арефино,Ярославская Область,,Россия,ok
Арзамас г,Нижегородская обл,арзамас,15.160349716315462,55.39563,43.8381,Арзамас,Нижегородская Область,,Россия,ok
Арзгир с,Ставропольский край,арзгир,8.967023053206242,45.37411,44.2198,Арзгир,Ставрополье,,Россия,ok
Аркадак г,Саратовская обл,аркадак,14.957449725626269,51.93752,43.50404,Аркадак,Саратовская Область,,Россия,ok
Армавир г,Краснодарский край,армавир,15.220381509918896,44.99849,41.11472,Армавир,Краснодарский край,,Россия,ok
Арнеево д,Московская обл,арнеево,14.0,54.96939,37.57386,Арнеево,Московская область,,Россия,ok
Арсеньево рп,Тульская обл,арсеньево,14.850025047068591,53.73794,36.66749,Арсеньево,Тульская Область,,Россия,ok
Арск г,Татарстан Респ,арск,14.975521953586703,56.09254,49.87819,Арск,Татарстан,Арский Район,Россия,ok
Артемовский г,Свердловская обл,артемовский,15.04252827894907,57.35422,61.87121,Артёмовский,Свердловская Область,,Россия,ok
Арти пгт,Свердловская обл,арти,14.951524822509302,56.41962,58.53911,Арти,Свердловская Область,,Россия,ok
Арти рп,Свердловская обл,арти,14.951524822509302,56.41962,58.53911,Арти,Свердловская Область,,Россия,ok
Архангельск г,Архангельская обл,архангельск,15.276495387803152,64.5461,40.55183,Архангельск,Архангельская Область,Приморский Район,Россия,ok
Архангельская ст-ца,Краснодарский край,,,,,,,,,not_found
Архангельское с,Башкортостан Респ,архангельское,14.0,54.40575,56.78064,Архангельское,Башкортостан,,Россия,ok
Архангельское с,Нижегородская обл,архангельское,8.818896686364887,55.85486,35.32873,Архангельское,Московская область,,Россия,ok
Архангельское с,Тульская обл,архангельское,14.0,53.25977,37.6963,Архангельское,Тульская Область,,Россия,ok
Арья рп,Нижегородская обл,арья,14.846821300919451,57.49146,45.96691,Арья,Нижегородская Область,,Россия,ok
Асбест г,Свердловская обл,асбест,15.121968128597652,57.00816,61.46344,Асбест,Свердловская Область,,Россия,ok
Асекеево с,Оренбургская обл,асекеево,14.856940606286315,53.57806,52.82172,Асекеево,Оренбургская Область,,Россия,ok
Асино г,Томская обл,асино,15.020621832318945,56.99918,86.15518,Асино,Томская Область,,Россия,ok
Аскарово с,Башкортостан Респ,аскарово,14.912793654572138,53.33332,58.51708,Аскарово,Башкортостан,,Россия,ok
Аскиз рп,Хакасия Респ,аскиз,14.884347078162738,53.13129,90.52821,Аскиз,Хакасия,,Россия,ok
Аскино с,Башкортостан Респ,аскино,14.883448260862068,56.08781,56.57818,Аскино,Башкортостан,,Россия,ok
Астрахань г,Астраханская обл,астрахань,15.318801253156066,46.34968,48.04076,Астрахань,Астраханская Область,Астрахань,Россия,ok
Атаманская ст-ца,Краснодарский край,,,,,,,,,not_found
Атемар с,Мордовия Респ,атемар,14.83072126266283,54.18097,45.40909,Атемар,Мордовия,,Россия,ok
Атепцево с,Московская обл,атепцево,14.813885675069631,55.32364,36.75002,Атепцево,Московская область,,Россия,ok
Атиг рп,Свердловская обл,атиг,14.825400859056485,56.69307,59.42271,Атиг,Свердловская Область,,Россия,ok
Аткарск г,Саратовская обл,аткарск,15.022393928631734,51.88056,45.00609,Аткарск,Саратовская Область,,Россия,ok
Атюрьево с,Мордовия Респ,атюрьево,14.0,54.32056,43.33688,Атюрьево,Мордовия,,Россия,ok
Атяшево рп,Мордовия Респ,атяшево,14.86887907848472,54.56443,46.06905,Атяшево,Мордовия,,Россия,ok
Афанасьево с,Липецкая обл,афанасьево,8.700397413672269,54.63958,100.61755,Афанасьево,Иркутская Область,,Россия,ok
Афипский пгт,Краснодарский край,афипский,14.980972617272164,44.90005,38.84265,Афипский,Краснодарский край,,Россия,ok
Афонино д,Нижегородская обл,афонино,14.80655794272821,56.26201,44.09503,Афонино,Нижегородская Область,Кстовский Район,Россия,ok
Ахтанизовская ст-ца,Краснодарский край,,,,,,,,,not_found
Ахтарский п,Краснодарский край,ахтарский,14.0,46.00837,38.34729,Ахтарский,Краснодарский край,,Россия,ok
Ахтубинск г,Астраханская обл,ахтубинск,15.070441232526951,48.28339,46.16519,Ахтубинск,Астраханская Область,Ахтубинский Район,Россия,ok
Ахтырский пгт,Краснодарский край,ахтырский,14.987657873597891,44.8546,38.3031,Ахтырский,Краснодарский край,,Россия,ok
Ачикулак с,Ставропольский край,ачикулак,8.885950548451913,44.55167,44.83778,Ачикулак,Ставрополье,,Россия,ok
Ачинск г,Красноярский край,ачинск,15.167534188921453,56.26792,90.50145,Ачинск,Красноярский Край,,Россия,ok
Ачит пгт,Свердловская обл,ачит,14.852456594574566,56.80049,57.90152,Ачит,Свердловская Область,,Россия,ok
Аша г,Челябинская обл,аша,15.040447493916622,54.99982,57.25491,Аша,Челябинская,,Россия,ok
Ашитково с,Московская обл,ашитково,14.809742629859722,55.45173,38.59518,Ашитково,Московская область,,Россия,ok
Ашукино дп,Московская обл,,,,,,,,,not_found
Бабаево г,Вологодская обл,бабаево,14.94174358388688,59.3936,35.9371,Бабаево,Вологодская Область,,Россия,ok
Бабынино п,Калужская обл,бабынино,14.829654652030062,54.38898,35.74037,Бабынино,Калужская Область,,Россия,ok
Бабяково с,Воронежская обл,бабяково,14.0,51.6844,39.3703,Бабяково,Воронежская Область,,Россия,ok
Бавлены п,Владимирская обл,бавлены,14.807402621612406,56.39448,39.56504,Бавлены,Владимирская область,,Россия,ok
Бавлы г,Татарстан Респ,бавлы,15.004251009118493,54.39759,53.25116,Бавлы,Татарстан,Бавлинский райо́н,Россия,ok
Багаевская ст-ца,Ростовская обл,,,,,,,,,not_found
Баган с,Новосибирская обл,баган,14.866630261400408,54.09949,77.66691,Баган,Новосибирская Область,,Россия,ok
Баграмово д,Рязанская обл,баграмово,14.76847839435228,54.72337,39.45186,Баграмово,Рязанская Область,,Россия,ok
Базарные Матаки с,Татарстан Респ,базарные матаки,14.858298093195424,54.90693,49.9342,Базарные Матаки,Татарстан,,Россия,ok
Базарный Карабулак рп,Саратовская обл,базарный карабулак,14.924859908409328,52.27235,46.41711,Базарный Карабулак,Саратовская Область,,Россия,ok
Базарный Сызган рп,Ульяновская обл,базарный сызган,14.870615929092883,53.7497,46.75863,Базарный Сызган,Ульяновская Область,,Россия,ok
Базковская ст-ца,Ростовская обл,,,,,,,,,not_found
Байкалово с,Свердловская обл,байкалово,14.870682132339264,57.39595,63.76812,Байкалово,Свердловская Область,,Россия,ok
Баймак г,Башкортостан Респ,баймак,14.97696132439798,52.59172,58.31132,Баймак,Башкортостан,,Россия,ok
Бакал г,Челябинская обл,бакал,14.998796655911407,54.9417,58.8083,Бакал,Челябинская,,Россия,ok
Бакалы с,Башкортостан Респ,бакалы,14.916251474249355,55.17884,53.79617,Бакалы,Башкортостан,,Россия,ok
Баксан г,Кабардино-Балкарская Респ,баксан,9.053262940312017,43.68374,43.53507,Баксан,Кабардино-Балкария,,Россия,ok
Бакчар с,Томская обл,бакчар,14.888128059507045,57.02114,82.07201,Бакчар,Томская Область,,Россия,ok
Балабаново г,Калужская обл,балабаново,15.0315431626742,55.18161,36.6606,Балабаново,Калужская Область,,Россия,ok
Балакирево п,Владимирская обл,балакирево,14.909750756370183,56.50588,38.84324,Балакирево,Владимирская область,,Россия,ok
Балаково г,Саратовская обл,балаково,15.220393536316854,52.02639,47.79671,Балаково,Саратовская Область,,Россия,ok
Балахна г,Нижегородская обл,балахна,15.105222245060745,56.48989,43.60114,Балахна,Нижегородская Область,Балахнинский Район,Россия,ok
Балашейка пгт,Самарская обл,балашейка,14.803300949859668,53.2841,48.0851,Балашейка,Самарская Область,,Россия,ok
Балашиха г,Московская обл,балашиха,15.19190836661672,55.79479,37.94794,Балашиха,Московская область,,Россия,ok
Балашов г,Саратовская обл,балашов,15.149382419166782,51.55103,43.17069,Балашов,Саратовская Область,,Россия,ok
Балезино п,Удмуртская Респ,балезино,8.971830189812753,57.9787,53.0138,Балезино,Удмуртия,,Россия,ok
Балки п,Курганская обл,балки,14.0,55.27889,65.33028,Балки,Курганская Область,,Россия,ok
Балобаново с,Московская обл,балобаново,14.0,55.84465,38.23706,Балобаново,Московская область,,Россия,ok
Балтай с,Саратовская обл,балтай,14.828399930424853,52.46577,46.62998,Балтай,Саратовская Область,,Россия,ok
Балтаси пгт,Татарстан Респ,балтаси,14.885509298002864,56.34646,50.20749,Балтаси,Татарстан,Балтаси́нский райо́н,Россия,ok
Балтийск г,Калининградская обл,балтийск,15.044990230322137,54.65455,19.90929,Балтийск,Калининградская Область,Город Калининград,Россия,ok
Бараба с,Свердловская обл,бараба,14.705098944706805,56.75,61.76667,Бараба,Свердловская Область,,Россия,ok
Барабинск г,Новосибирская обл,барабинск,15.03580284982909,55.35072,78.35873,Барабинск,Новосибирская Область,,Россия,ok
Барда с,Пермский край,барда,14.90215982473793,56.92724,55.59163,Барда,Пермский край,,Россия,ok
Барнаул г,Алтайский край,барнаул,15.335723468890889,53.36199,83.72786,Барнаул,Алтайский Край,Городской округ Барнаул,Россия,ok
Барсуки п,Тульская обл,барсуки,14.816080392095468,54.26548,37.48746,Барсуки,Тульская Область,,Россия,ok
Барсуковская ст-ца,Ставропольский край,,,,,,,,,not_found
Барыш г,Ульяновская обл,барыш,14.982811724551135,53.64976,47.12715,Барыш,Ульяновская Область,,Россия,ok
Барятино с,Калужская обл,барятино,14.78808043446749,54.31106,34.52131,Барятино,Калужская Область,,Россия,ok
Батайск г,Ростовская обл,батайск,15.160789922455525,47.13746,39.75713,Батайск,Ростовская Область,,Россия,ok
Батецкий п,Новгородская обл,батецкий,14.770706265537047,58.6462,30.30292,Батецкий,Новгородская Область,,Россия,ok
Батрак с,Пензенская обл,батрак,14.0,53.17483,43.9516,Батрак,Пензенская Область,,Россия,ok
Батуринская ст-ца,Краснодарский край,,,,,,,,,not_found
Батырево с,Чувашская Республика - Чувашия,батырево,8.863923381732526,55.0675,47.61111,Батырево,Чувашия,,Россия,ok
Башмаково рп,Пензенская обл,башмаково,14.917523119486262,53.21329,43.0342,Башмаково,Пензенская Область,,Россия,ok
Бегичевский п,Тульская обл,бегичевский,14.786978390253015,53.79605,38.25498,Бегичевский,Тульская Область,,Россия,ok
Бегуницы д,Ленинградская обл,бегуницы,14.81772348855102,59.58552,29.31757,Бегуницы,Ленинградская область,Волосовский Район,Россия,ok
Бежаницы рп,Псковская обл,бежаницы,14.845786772533142,56.97534,29.88492,Бежаницы,Псковская Область,,Россия,ok
Бежецк г,Тверская обл,бежецк,15.024405852072633,57.78422,36.70082,Бежецк,Тверская Область,,Россия,ok
Бежка д,Тульская обл,бежка,14.0,54.19287,37.73823,Бежка,Тульская Область,,Россия,ok
Безводное с,Нижегородская обл,безводное,14.0,56.83115,44.70394,Безводное,Нижегородская Область,,Россия,ok
Безенчук пгт,Самарская обл,безенчук,15.007479029118096,52.98058,49.43196,Безенчук,Самарская Область,,Россия,ok
Безопасное с,Ставропольский край,безопасное,8.887863674743008,45.64833,41.93603,Безопасное,Ставрополье,,Россия,ok
Бейсуг п,Краснодарский край,бейсуг,14.0,45.70411,39.85406,Бейсуг,Краснодарский край,,Россия,ok
Беково рп,Пензенская обл,беково,14.882482493917564,52.46632,43.71199,Беково,Пензенская Область,,Россия,ok
Белая Березка пгт,Брянская обл,белая березка,8.0,55.95,90.65,Белая Берёзка,Красноярский Край,,Россия,ok
Белая Глина с,Краснодарский край,белая глина,14.97980159195939,46.08115,40.87351,Белая Глина,Краснодарский край,,Россия,ok
Белая Калитва г,Ростовская обл,белая калитва,15.076894804069296,48.17927,40.7792,Белая Калитва,Ростовская Область,,Россия,ok
Белая Холуница г,Кировская обл,белая холуница,14.93638336929333,58.84031,50.83887,Белая Холуница,Кировская Область,,Россия,ok
Белая д,Московская обл,белая,8.794129557090653,51.05878,35.71088,Белая,Курская Область,,Россия,ok
Белая сл,Курская обл,белая сл,5.0,53.13333,32.41667,Белая Слобода,Брянская Область,,Россия,ok
Белгород г,Белгородская обл,белгород,15.275213992263437,50.60343,36.58091,Белгород,Белгородская Область,Белгородский район,Россия,ok
Белебей г,Башкортостан Респ,белебей,15.10442489547124,54.10774,54.11741,Белебей,Башкортостан,,Россия,ok
Белев г,Тульская обл,белев,14.963567346472182,53.81217,36.13339,Белёв,Тульская Область,,Россия,ok
Белинский г,Пензенская обл,белинский,14.90826206303738,52.96474,43.41647,Белинский,Пензенская Область,,Россия,ok
Белово г,Кемеровская область - Кузбасс обл,белово,9.123539172357026,54.42119,86.29907,Белово,Кузба́сс,,Россия,ok
Белогорка д,Ленинградская обл,белогорка,14.0,59.3472,30.12829,Белогорка,Ленинградская область,,Россия,ok
Белогостицы с,Ярославская обл,белогостицы,14.0,57.23255,39.5001,Белогостицы,Ярославская Область,,Россия,ok
Белое с,Адыгея Респ,белое,14.802878116248715,45.04832,39.65143,Белое,Адыгея,,Россия,ok
Белозерск г,Вологодская обл,белозерск,14.93101857069459,60.0288,37.8084,Белозёрск,Вологодская Область,,Россия,ok
Белокуриха г,Алтайский край,белокуриха,14.959791302724277,51.99749,84.99714,Белокуриха,Алтайский Край,,Россия,ok
Беломестное сл,Орловская обл,,,,,,,,,not_found
Беломорск г,Карелия Респ,беломорск,14.940640045488063,64.53,34.76292,Беломорск,Карелия,,Россия,ok
Белоозёрский г.,Московская обл,белоозерский,14.981454704323948,55.45978,38.44358,Белоозёрский,Московская область,Городской Округ Воскресенск,Россия,ok
Белорецк г,Башкортостан Респ,белорецк,15.116292817578474,53.96206,58.39996,Белорецк,Башкортостан,,Россия,ok
Белореченск г,Краснодарский край,белореченск,15.090645127081894,44.77002,39.87246,Белореченск,Краснодарский край,,Россия,ok
Белоусово г,Калужская обл,белоусово,14.903860260872188,55.09499,36.6732,Белоусово,Калужская Область,,Россия,ok
Белоярский г,Ханты-Мансийский Автономный округ - Югра АО,белоярский,8.990787790083742,63.71194,66.67222,Белоярский,Ханты-Мансийский АО,,Россия,ok
Белоярский пгт,Свердловская обл,белоярский,14.942859197720995,56.75713,61.41629,Белоярский,Свердловская Область,,Россия,ok
Белый Яр пгт,Ханты-Мансийский Автономный округ - Югра АО,белый яр,8.972752572969476,61.26491,73.24104,Белый Яр,Ханты-Мансийский АО,,Россия,ok
Белый Яр рп,Томская обл,белый яр,14.0,58.93806,80.40472,Белый Яр,Томская Область,,Россия,ok
Бельтирское с,Хакасия Респ,,,,,,,,,not_found
Беляевка с,Оренбургская обл,беляевка,14.853915035876827,51.39672,56.40698,Беляевка,Оренбургская Область,,Россия,ok
Бердск г,Новосибирская обл,бердск,15.141034995646615,54.75352,83.09624,Бердск,Новосибирская Область,,Россия,ok
Бердяуш рп,Челябинская обл,бердяуш,14.863621989783788,55.1619,59.1464,Бердяуш,Челябинская,,Россия,ok
Березанская ст-ца,Краснодарский край,,,,,,,,,not_found
Березник рп,Архангельская обл,березник,14.654534966033442,61.23589,43.62261,Березник,Архангельская Область,,Россия,ok
Березники г,Пермский край,березники,15.20302240935643,59.4091,56.8204,Березники,Пермский край,,Россия,ok
Березняки д,Московская обл,березняки,14.0,56.33963,38.24604,Березняки,Московская область,,Россия,ok
Березовка д,Нижегородская обл,березовка,14.0,56.52954,44.02563,Берёзовка,Нижегородская Область,городской округ город Бор,Россия,ok
Березовка с,Пермский край,березовка,14.0,57.60364,57.31641,Березовка,Пермский край,,Россия,ok
Березово с,Воронежская обл,березово,8.0,61.2592,41.3918,Берёзово,Архангельская Область,,Россия,ok
Березово с,Кемеровская область - Кузбасс обл,березово,8.0,61.2592,41.3918,Берёзово,Архангельская Область,,Россия,ok
Березовский г,Свердловская обл,березовский,15.07579241570616,56.9083,60.8019,Берёзовский,Свердловская Область,,Россия,ok
Березовский г.,Кемеровская область - Кузбасс обл,березовский,9.09151066458675,55.66951,86.27485,Берёзовский,Кузба́сс,,Россия,ok
Береславка п,Волгоградская обл,береславка,14.848011418317482,48.62541,44.04491,Береславка,Волгоградская Область,,Россия,ok
Берсеневка с,Мордовия Респ,берсеневка,14.0,54.20689,45.08854,Берсеневка,Мордовия,,Россия,ok
Бершеть с,Пермский край,бершеть,14.815765701519648,57.7309,56.3783,Бершеть,Пермский край,,Россия,ok
Беседино с,Курская обл,беседино,14.0,51.71036,36.47554,Беседино,Курская Область,,Россия,ok
Бессоновка с,Пензенская обл,бессоновка,14.919836900019495,53.30968,45.04069,Бессоновка,Пензенская Область,,Россия,ok
Бетлица п,Калужская обл,бетлица,14.82495751500002,54.01322,33.94763,Бетлица,Калужская Область,,Россия,ok
Бехтеевка с,Белгородская обл,бехтеевка,14.811162807830774,50.80706,37.21789,Бехтеевка,Белгородская Область,,Россия,ok
Бея с,Хакасия Респ,бея,14.858279364850018,53.05005,90.92158,Бея,Хакасия,,Россия,ok
Бжид с,Краснодарский край,бжид,14.0,44.35056,38.66861,Бжид,Краснодарский край,,Россия,ok
