Precatalyst,Cocatalyst,ratio,solvent,T,P,time,Activity,C4,C6,C8,1-C4,1-C6,Precatalyst_metal,ligand_type
C1C2C3C=NC4C=CC=CC=4N=3[Ni]3(Cl)(Cl)N=2C(C(C)=N3C2C(F)=CC=CC=2F)=CC=1,DEAC,700.0,Cc1ccccc1,293.15,10.0,0.5,110000.00000000001,99.1,0.9,,,,Ni,"(N,N,N)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(Cl)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MAO,250.0,Cc1ccccc1,313.15,30.0,0.5,2410000.0,33.6,22.8,13.2,,,Fe,"(N,N,N)"
C1C(CO)=N2[Ni](Cl)(Cl)N(C3C(CC)=CC=CC=3CC)=C3CCCC(C=1)=C23,DEAC,800.0,Cc1ccccc1,303.15,10.0,0.5,663000.0,26.6,73.4,,99.0,33.2,Ni,"(N,N)"
C1=CC=N2[Co]3(Cl)(Cl)N4C5C=CC=CC=5N(C)C=4C4C=CC5=CC=C1C2=C5N=43,MMAO,1500.0,Cc1ccccc1,293.15,30.0,0.33,1039999.9999999999,87.5,12.5,,75.0,,Co,"(N,N,N)"
CCCCCCCCCCCCN1CCC(=O)NCCCCCCCCN2[Co]3(OC4C=CC=CC=4C=N3CCCCCCCCNC(=O)CC1)OC1=CC=CC=C1C=2,MAO,500.0,Clc1ccccc1,298.15,5.0,0.5,108500.0,78.01,18.76,1.7,,,Co,"(N,N,O,O)"
C1CC[P+]([Cr](O2CCCC2)(Cl)(Cl)(Cl)[NH2+]1)(C1C=CC=CC=1)C1C=CC=CC=1,MAO,800.0,Cc1ccccc1,318.15,45.0,0.78,21762000.0,,25.8,66.7,,93.5,Cr,"(N,O,P)"
C(CCCC)CCCCCCCCCCCCCN1CCC(=O)NCCN2[Fe]3(N(=CC4C(O3)=CC=CC=4)CCNC(=O)CC1)OC1C=CC=CC=1C=2,MAO,500.0,CCCCCC,298.15,5.0,0.5,51300.0,15.97,73.74,0.69,,,Fe,"(N,N,O,O)"
C1C(CO)=N2[Ni](Cl)(Cl)N(C3C(C(C)(C)C)=CC(C(C)(C)C)=CC=3C(C)(C)C)=C3CCCC(C=1)=C23,DEAC,900.0,Cc1ccccc1,303.15,10.0,0.5,670000.0,57.4,42.6,,98.1,38.7,Ni,"(N,N)"
[Ni]1([P+](N(C2CCCC2)[Si](C)(C)C[P+]1(C1C=CC=CC=1)C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)(Br)Br,EADC,500.0,CC1CCCCC1,333.15,10.0,0.5,16000000.0,64.8,35.2,,34.1,10.4,Ni,"(P,P)"
N12CCCO([Ni](Cl)(Cl)N1=C(C)C=C2C)C1C=CC=CC=1,"MAO,PPh3",250.0,Cc1ccccc1,303.15,20.0,0.3333333333333333,3318315.0,91.4,8.6,,15.0,16.0,Ni,"(N,O)"
C1C=CN2[Cr]3(Cl)(Cl)(Cl)N(C4C(C(C)C)=CC=CC=4C(C)C)=C(C4C=CC=CC=4)C4C=CC5C=CC=1C=2C=5N=43,MAO,1000.0,Cc1ccccc1,293.15,1.0,1.0,71000.0,85.1,10.5,4.3,,,Cr,"(N,N,N)"
C1C(C)=CC(C(C2C=CC=CC=2)C2C=CC=CC=2)=C(N2=C(C)C3N4[Ni]2(Cl)(Cl)N(C2C(C)=CC=CC=2C)=C(C)C=4C=CC=3)C=1C(C1C=CC=CC=1)C1C=CC=CC=1,EASC,500.0,Cc1ccccc1,313.15,10.0,0.5,278000.0,97.3,2.7,,93.4,,Ni,"(N,N,N)"
N12[Ni]3([S+](C4C=CC=CC=4)C4C(N3=CC1=CC=C2)=CC=CC=4)Cl,EASC,250.0,Cc1ccccc1,303.15,20.0,0.33,1999965.0,94.8,5.2,,72.0,22.0,Ni,"(N,N,S)"
C1=CC=CC=C1[P+](C1=CC=CC=C1)(C1C=CC=CC=1)[Ni]([P+](C1C=CC=CC=1)(C1=CC=CC=C1)C1C=CC=CC=1)Cl,[B-]([O+](CC)CC)(F)(F)F,2.0,Not_defined,285.15,1.0,0.13,13463.485999999999,98.8,1.2,0.0,49.3,,Ni,"(P,P)"
CC(C)CN1[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Cr]2(Cl[Cr]3(Cl)(Cl)([P+](N(CC(C)C)[P+]3(C3C=CC=CC=3)C3C=CC=CC=3)(C3C=CC=CC=3)C3C=CC=CC=3)Cl2)(Cl)(Cl)[P+]1(C1C=CC=CC=1)C1C=CC=CC=1,MMAO,300.0,Cc1ccccc1,318.15,45.0,0.33,5122000.0,,18.7,69.8,,36.5,Cr,"(P,P)"
C1C=CC2[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Br)(Br)N3C(CC)COC=3C=2C=1,MAO,1000.0,Cc1ccccc1,298.15,1.0,0.5,71000.0,99.38,0.62,,,,Ni,"(N,P)"
C12C=N3[Ni]4(N(=CC5C(O4)=C(C)C=CC=5)CC3)OC=1C(C)=CC=C2,MAO,500.0,C1CCCCC1,323.15,10.0,0.5,540000.0,49.8,38.4,4.7,79.9,64.2,Ni,"(N,N,O,O)"
C1C=CC(C(C)C)=C(N2=C(C)C3N4[Ni]2(Cl)(Cl)N2C5C=CC=C(C)C=5NC=2C=4C=CC=3)C=1C(C)C,DEAC,700.0,Cc1ccccc1,303.15,10.0,0.5,1700000.0,94.0,6.0,,,,Ni,"(N,N,N)"
C1C=CC=C2N3[Ni]4(Br[Ni]5(Br)(N6C7C=CC=CC=7N=CC=6C6N5=CC=CC=6)Br4)(Br)N4=CC=CC=C4C=3C=NC=12,MAO,1000.0,Cc1ccccc1,333.15,1.0,0.5,10000.0,100.0,0.0,,100.0,,Ni,"(N,N)"
C1=C2N([Ni]([P+](OC2)(C2=CC=CC=C2)C2=CC=CC=C2)(Cl)Cl)=CC=C1,EADC,2.0,Clc1ccccc1,300.65,10.0,0.5833333333333334,30855.0,97.0,2.0,1.0,72.0,,Ni,"(N,P)"
C1(=O[Co]2(Cl)(Cl)N3C4C=CC=CC=4N(C)C=3C3C=CC=C1N=32)C,DEAC,200.0,Cc1ccccc1,293.15,20.0,0.5,160000.0,48.5,51.5,,,,Co,"(N,N,O)"
C1C=CC(Cl)=C(N2=C(C)C3N4[Co]2(Cl)(Cl)N2C5C=CC=CC=5OC=2C=4C=CC=3)C=1Cl,MAO,1000.0,Cc1ccccc1,293.15,10.0,0.5,724000.0,96.4,0.6,,100.0,,Co,"(N,N,N)"
C1C(CO)=N2[Ni](Cl)(Cl)N(C3C(C(C)(C)C)=CC(C(C)(C)C)=CC=3C(C)(C)C)=C3CCCC(C=1)=C23,MMAO,4000.0,Cc1ccccc1,303.15,10.0,0.5,1520000.0,21.6,78.4,,47.4,48.8,Ni,"(N,N)"
C1C=CC2N3[Ni](Br)(Br)N(C4C(C)=CC(CC)=CC=4C)=C(C(C)(C)C)C=3C=CC=2C=1,MMAO,2500.0,Cc1ccccc1,313.15,5.0,0.5,1500000.0,5.9,89.7,,,,Ni,"(N,N)"
C1C=CC=N2[Ni]3(Cl[Ni]4(Cl3)(Cl)N3C(CC(C)(C)O[P+]4(C4=CC=CC=C4)C4C=CC=CC=4)=CC=CC=3)(Cl)[P+](C3=CC=CC=C3)(C3C=CC=CC=3)OC(C)(C)CC=12,EADC,2.0,Cc1ccccc1,303.15,10.0,0.5833333333333334,1144440.0,61.0,35.0,0.0,8.0,,Ni,"(N,P)"
C1C=CC(C)=C(N2[Ni]3(Cl)(Cl)N4C5C=CC=CC=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MAO,1000.0,Cc1ccccc1,293.15,10.0,0.5,150000.0,100.0,0.0,,99.0,,Ni,"(N,N,N)"
C1CC[P+]([Cr](O2CCCC2)(Cl)(Cl)(Cl)[NH2+]1)(C1C=CC=CC=1)C1C=CC=CC=1,MAO,700.0,Cc1ccccc1,323.15,30.0,0.78,11211200.0,,29.8,59.2,,94.1,Cr,"(N,O,P)"
C1C=CC=C2N3[Ni]4(Br[Ni]5(Br)(N6C7C=CC=CC=7N=CC=6C6N5=CC=CC=6)Br4)(Br)N4=CC=CC=C4C=3C=NC=12,MAO,3000.0,Cc1ccccc1,293.15,1.0,0.5,710000.0,77.5,22.5,,100.0,12.0,Ni,"(N,N)"
C1=C2CP(C3C=CC=CC=3)(C3C=CC=CC=3)=O[Co]3(Cl)(Cl)N4=C(C)C=C(C)N4CC(C=C1)=N23,EADC,250.0,Cc1ccccc1,303.15,10.0,1.0,200000.0,93.0,7.0,,12.0,,Co,"(N,N,O)"
C1(N(CCOC)C=C[N+]=1C1C(C(C)C)=CC=CC=1C(C)C)[Ni](C1N(CCOC)C=C[N+]=1C1=C(C(C)C)C=CC=C1C(C)C)(Br)Br,EADC,10.0,Cc1ccccc1,295.65,10.0,0.58,751232.0,78.0,20.0,,8.0,1.0,Ni,"(C,C)"
C1C(C)=N2[Ni](Br)(Br)N3=C(C)C=CC4C=CC(C=1)=C2C=43,MAO,500.0,Cc1ccccc1,353.15,1.0,0.5,411000.00000000006,95.9,4.1,,,,Ni,"(N,N)"
C1C=CN2[Cr]3(Cl)(Cl)(Cl)N(C4C(CC)=CC=CC=4CC)=CC4C=CC5C=CC=1C=2C=5N=43,MAO,1000.0,Cc1ccccc1,293.15,1.0,1.0,189000.0,45.1,26.5,28.4,,,Cr,"(N,N,N)"
C1C(C)=CC(C(C2C=CC=CC=2)C2C=CC=CC=2)=C(N2=C(C)C3N4[Ni]2(Cl)(Cl)N(C2C(C)=CC=CC=2C)=C(C)C=4C=CC=3)C=1C(C1C=CC=CC=1)C1C=CC=CC=1,EASC,300.0,Cc1ccccc1,303.15,10.0,0.5,229999.99999999997,96.4,3.6,,93.2,,Ni,"(N,N,N)"
C1C=C2C3=N4[Co](Cl)(Cl)(N(C5C(C(C)C)=CC=CC=5C(C)C)=C3C3=CC=CC(C=1)=C23)N(C)(C)CC4,MAO,300.0,Cc1ccccc1,303.15,1.3,0.5,50700.0,44.7,55.3,,59.060402684563755,30.37974683544304,Co,"(N,N,N)"
C1C2C(=N(C3C(C(C)C)=CC=CC=3C(C)C)[Ni]3(Cl)(Cl)N=2C(C2OC4C=CC=CC=4N=23)=CC=1)C,DEAC,300.0,Clc1ccccc1,293.15,10.0,0.5,314000.0,97.5,2.5,,96.4,,Ni,"(N,N,N)"
C1C2C3C=NC4C=CC=CC=4N=3[Ni]3(Cl)(Cl)N=2C(C(C)=N3C2C(C(C)C)=CC=CC=2C(C)C)=CC=1,DEAC,700.0,Cc1ccccc1,293.15,10.0,0.5,530000.0,85.9,14.1,,,,Ni,"(N,N,N)"
C1C(C)=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(C)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MMAO,200.0,Cc1ccccc1,303.15,30.0,0.5,3030000.0,41.0,28.8,14.9,,,Fe,"(N,N,N)"
C1C=CC(C)=C(N2[Ni]3(Cl)(Cl)N4C5C=CC=CC=5NC=4C4C=CC=C(N=43)C=2C)C=1C,DEAC,200.0,Cc1ccccc1,293.15,10.0,0.5,519999.99999999994,93.6,5.3,,89.3,,Ni,"(N,N,N)"
N12C(C)=CC(C)=N1[Ni](Br)(Br)N(C1C=CC([N+](=O)[O-])=CC=1)=C2C1C=CC=CC=1,MAO,400.0,Cc1ccccc1,293.15,0.5,1.0,317000.0,32.2,50.3,14.7,,,Ni,"(N,N)"
N12CCCO([Ni](Cl)(Cl)N1=CC=C2)C1C=CC=CC=1,MAO,250.0,Cc1ccccc1,303.15,20.0,0.3333333333333333,516120.0,95.3,4.7,,84.0,30.0,Ni,"(N,O)"
C1C2C(OCC)=O[Ni]3(Cl)(Cl)N(C4C(C)=CC=CC=4C)=C(C)C(=CC=1)N=23,MAO,1000.0,Cc1ccccc1,288.15,1.0,0.5,88800.00000000001,80.63,5.19,,,,Ni,"(N,N,O)"
C1=C2CP(C3C=CC=CC=3)(C3C=CC=CC=3)=O[Ni]3(Br)(Br)N4=C(C)C=C(C)N4CC(C=C1)=N23,EADC,250.0,Cc1ccccc1,303.15,10.0,0.25,460000.00000000006,91.0,9.0,,15.0,,Ni,"(N,N,O)"
C1C=CC(CC)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(C)C=5NC=4C4C=CC=C(N=43)C=2C)C=1CC,MMAO,200.0,Cc1ccccc1,303.15,30.0,0.5,800000.0,54.2,24.2,10.1,,,Fe,"(N,N,N)"
CCCCCCCCCCCCCCN1CCC(=O)NCCN2[Fe]3(N(=CC4C(O3)=CC=CC=4)CCNC(=O)CC1)OC1C=CC=CC=1C=2,MAO,500.0,Cc1ccccc1,298.15,5.0,0.5,81700.0,54.45,19.0,19.4,,,Fe,"(N,N,O,O)"
C12C[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Cl)(Cl)N=1CCO2,MAO,2000.0,Cc1ccccc1,303.15,10.0,0.5,3035010.0,75.3,19.8,4.1,,14.0,Ni,"(N,P)"
C12C=N3[Ni]4(N(=CC5C(O4)=C(C)C=CC=5)CC3)OC=1C(C)=CC=C2,MAO,275.0,C1CCCCC1,323.15,10.0,0.5,800000.0,45.5,37.0,7.8,86.5,56.7,Ni,"(N,N,O,O)"
N12CC3C=CC=C4CN5N(=C(C)C=C5C)[Ni](Cl)(Cl)(N1=C(C)C=C2C)N=34,EADC,250.0,Cc1ccccc1,331.15,20.0,1.0,4001999.9999999995,45.0,28.0,27.0,,,Ni,"(N,N,N)"
C1(Cl)C=C2C3=N([Ni]4(OC2=C(Cl)C=1)OC1=C(Cl)C=C(Cl)C=C1C1=N4C2C=CC=CC=2N1C(C)C)C1C=CC=CC=1N3C(C)C,DEAC,200.0,Cc1ccccc1,293.15,1.0,0.75,164000.0,90.5,9.5,,,,Ni,"(N,N,O,O)"
C1=CC=N2[Co]3(Cl)(Cl)N4C5C=CC=CC=5NC=4C4C=CC5=CC=C1C2=C5N=43,MMAO,1500.0,Cc1ccccc1,293.15,20.0,0.33,982999.9999999999,91.3,8.7,,77.5,,Co,"(N,N,N)"
C1C=CN2[Fe]3(Cl)(Cl)N4=C(C=N3C3C(C)=CC(C)=CC=3C)C=CC3C=CC=1C=2C=34,MMAO,500.0,Cc1ccccc1,293.15,1.0,0.5,947000.0,23.7,44.4,31.9,,,Fe,"(N,N,N)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(Cl)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MAO,250.0,Cc1ccccc1,293.15,30.0,0.5,2530000.0,30.9,20.7,12.4,,,Fe,"(N,N,N)"
C1=CC=N2[Fe]3(Cl)(Cl)N4C5C=C(C(C)(C)C)C=CC=5OC=4C4C=CC5=CC=C1C2=C5N=43,MMAO,800.0,Cc1ccccc1,293.15,10.0,0.33,913000.0,80.1,19.9,,83.0,,Fe,"(N,N,N)"
C1C=CN2[Ni]345([OH+]CC[NH+]3CC3C=CC=CN=34)[NH+](CC[OH+]5)CC=2C=1,EADC,200.0,Cc1ccccc1,303.15,10.0,1.0,1860000.0,54.0,40.0,6.0,75.0,52.0,Ni,"(N,N,N,N,O,O)"
C1C=CN2[Cr]3(Cl)(Cl)(Cl)N4C5C=C(C(C)(C)C)C=CC=5OC=4C4C=CC5C=CC=1C=2C=5N=43,MMAO,1500.0,Cc1ccccc1,333.15,1.0,0.5,2310000.0,41.1,30.3,,,,Cr,"(N,N,N)"
C1C=CC2N3[Ni](Br)(Br)N(C4C(C)=CC=CC=4C)=C(C(C)(C)C)C=3C=CC=2C=1,MMAO,3000.0,Cc1ccccc1,303.15,5.0,0.5,1630000.0,6.7,71.4,,,,Ni,"(N,N)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(C)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MMAO,100.0,Cc1ccccc1,303.15,30.0,0.5,320000.0,74.8,5.2,2.9,,,Fe,"(N,N,N)"
CCCCCCCCCCCCN1CCC(=O)NCCCCN2[Fe]3(OC4C=CC=CC=4C=N3CCCCNC(=O)CC1)OC1=CC=CC=C1C=2,MAO,500.0,Cc1ccccc1,298.15,5.0,0.5,43300.0,53.9,18.77,11.63,,,Fe,"(N,N,O,O)"
C1N=C2C3N=CC=CC=3/C(=N3/NC(=O[Ni]4/3(/N(=C3\C5C=CC=NC=5C5N=CC=CC\3=5)/NC(C3C=CC=CC=3)=O4)(Cl)Cl)C3C=CC=CC=3)/C2=CC=1,MAO,1000.0,Cc1ccccc1,323.15,1.0,0.67,49000.0,86.7,13.1,0.2,100.0,0.0,Ni,"(N,N,O,O)"
[Ni]1([P+](N(C2C(C(C)C)=CC=CC=2C(C)C)[Si](C)(C)C[P+]1(C1C=CC=CC=1)C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)(Br)Br,EADC,700.0,CC1CCCCC1,318.15,10.0,0.5,8710000.0,93.4,6.6,,67.9,20.5,Ni,"(P,P)"
C1C=CN2[Co]3(Cl)(Cl)N4=C(C(C5C=CC=CC=5)=N3C3C(C(C)C)=CC=CC=3C(C)C)C=CC3C=CC=1C=2C=34,MMAO,1500.0,Cc1ccccc1,293.15,1.0,0.5,415000.00000000006,95.2,4.8,,,,Co,"(N,N,N)"
C1=CC(C2C=CC=CC=2)=N2[Co]3(Cl)(Cl)N4C5C=CC=CC=5OC=4C4C=CC5=CC=C1C2=C5N=43,MMAO,1000.0,Cc1ccccc1,293.15,10.0,0.33,56999.99999999999,74.5,25.5,,90.9,,Co,"(N,N,N)"
P(C1[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Ni](Cl)(Cl)[P+]1(C1C=CC=CC=1)C1C=CC=CC=1)(=O)(OC1C=CC=CC=1)OC1C=CC=CC=1,MAO,100.0,Cc1ccccc1,296.15,10.0,0.58,66198.0,91.0,9.0,1.0,48.0,41.0,Ni,"(P,P)"
C1CC[P+]([Cr](O2CCCC2)(Cl)(Cl)(Cl)[NH2+]1)(C1C=CC=CC=1)C1C=CC=CC=1,MAO,700.0,Cc1ccccc1,323.15,30.0,0.78,11211200.0,,29.8,59.2,0.0,94.1,Cr,"(N,O,P)"
C1C2C=CC(C(C)C)=N3[Fe]4(Cl)(Cl)N5C(C)=CC=CC=5C=N4C(=CC=1)C=23,MMAO,2000.0,Cc1ccccc1,293.15,10.0,0.3333333333333333,370000.0,85.4,14.6,,82.6,,Fe,"(N,N,N)"
N12CN3C4C=CC=CC=4N=N3[Ni](Br)(Br)N1=NC1C=CC=CC2=1,EASC,150.0,Cc1ccccc1,303.15,3.8,0.5,1371000.0,90.7,9.3,,35.6,21.3,Ni,"(N,N)"
C1C(C)=CC(C)=C(N2[Ni]3(Br)(Br)N4C5C=CC=CC=5NC=4C4C=CC=C(N=43)C=2C)C=1C,DEAC,300.0,Cc1ccccc1,313.15,10.0,0.5,890000.0,87.4,7.3,,79.9,,Ni,"(N,N,N)"
C1C=CN2[Ni](C3C(C)=CC(C)=CC=3C)(Br)N3=C(C)C=CC4C=CC=1C=2C=43,MMAO-12,100.0,Cc1ccccc1,299.65,20.0,0.5,3870900.0,36.0,26.0,16.0,,,Ni,"(C,N,N)"
C1(C)(C)COC2C(C)[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni]3(Cl[Ni]4(Cl3)(Cl)N3=C(C(C)[P+]4(C4C=CC=CC=4)C4C=CC=CC=4)OCC3(C)C)(Cl)N1=2,EADC,6.0,Cc1ccccc1,303.15,10.0,0.5833333333333334,1068705.0,64.0,33.0,3.0,13.0,,Ni,"(N,P)"
N12CC3C=CC=C4CN5N(=C(C(C)(C)C)C=C5C(C)(C)C)[Ni](Cl)(Cl)(N1=C(C(C)(C)C)C=C2C(C)(C)C)N=34,EADC,250.0,Cc1ccccc1,315.15,20.0,1.0,2958000.0,53.0,28.0,19.0,,,Ni,"(N,N,N)"
C1C=CC2[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Br)(Br)N3C(C)(C)COC=3C=2C=1,MAO,1000.0,Cc1ccccc1,273.15,1.0,0.5,108000.0,98.2,1.8,,,,Ni,"(N,P)"
C1=CC(C2C=CC=CC=2)=N2[Ni]3(Cl)(Cl)N4C(C)(C)COC=4C4C=CC5=CC=C1C2=C5N=43,DEAC,200.0,Cc1ccccc1,293.15,10.0,0.33,1090000.0,80.9,19.1,,61.3,,Ni,"(N,N,N)"
C12C=CC3C=CC(C)=N4[Ni]5(Br)(Br)N6C7C=CC=CC=7N(CC7C=CC=CC=7)C=6C(=CC=1)N5=C2C=34,DEAC,800.0,Cc1ccccc1,313.15,30.0,0.3333333333333333,3600000.0,92.5,7.5,,50.9,,Ni,"(N,N,N)"
C1(Cl)C=C2C3=N([Ni]4(OC2=C(Cl)C=1)OC1=C(Cl)C=C(Cl)C=C1C1=N4C2C=CC=CC=2N1C(C)C)C1C=CC=CC=1N3C(C)C,DEAC,200.0,Cc1ccccc1,293.15,1.0,1.0,155000.0,90.4,9.6,,,,Ni,"(N,N,O,O)"
C1C2C(=N(C3C(C(C)C)=CC=CC=3C(C)C)[Ni]3(Cl)(Cl)N=2C(C2OC4C=CC=CC=4N=23)=CC=1)C,"CC[Al](Cl)CC,PPh3",200.0,Cc1ccccc1,323.15,10.0,0.5,7190000.000000001,94.5,5.5,,8.3,,Ni,"(N,N,N)"
C1C=CC(C)=C(N2[Ni]3(Cl)(Cl)N4C5C=CC=CC=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MMAO,1000.0,Cc1ccccc1,293.15,10.0,0.5,90000.0,99.2,0.8,,96.2,,Ni,"(N,N,N)"
C1(=O[Fe]2(Cl)(Cl)N3C4C=CC=CC=4N(C)C=3C3C=CC=C1N=32)C,DEAC,200.0,Cc1ccccc1,313.15,20.0,0.5,480000.0,86.3,13.7,,,,Fe,"(N,N,O)"
C1C2C3C=NC4C=CC=CC=4N=3[Ni]3(Br)(Br)N=2C(C(C)=N3C2C(C)=CC=CC=2C)=CC=1,DEAC,700.0,Cc1ccccc1,293.15,10.0,0.5,740000.0,84.2,15.8,,,,Ni,"(N,N,N)"
C1N=C2C3N=CC=CC=3/C(=N3/NC(=O[Ni]4/3(/N(=C3\C5C=CC=NC=5C5N=CC=CC\3=5)/NC(C3C=C([N+]([O-])=O)C=CC=3)=O4)(Cl)Cl)C3C=C([N+]([O-])=O)C=CC=3)/C2=CC=1,MAO,1200.0,Cc1ccccc1,303.15,1.0,0.5,10300.0,100.0,0.0,0.0,100.0,0.0,Ni,"(N,N,O,O)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(Cl)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MAO,250.0,Cc1ccccc1,303.15,30.0,0.5,2820000.0,32.2,22.3,13.7,,,Fe,"(N,N,N)"
C1=CC=N2[Co]3(Cl)(Cl)N4C5C=CC=CC=5NC=4C4C=CC5=CC=C1C2=C5N=43,MMAO,500.0,Cc1ccccc1,293.15,30.0,0.33,454000.0,90.5,9.5,,88.2,,Co,"(N,N,N)"
C1C2C(=N(C3C(C(C)C)=CC=CC=3C(C)C)[Ni]3(Cl)(Cl)N=2C(C2OC4C=CC=CC=4N=23)=CC=1)C,DEAC,200.0,Cc1ccccc1,313.15,10.0,0.5,677000.0,96.3,3.7,,88.1,,Ni,"(N,N,N)"
C1C=CC=C(OCCN2[Ni](Cl)(Cl)OC3=CC=CC=C3C=2)C=1,MAO,300.0,Cc1ccccc1,303.15,20.0,0.5,166000.0,86.34,5.95,4.39,,,Ni,"(N,O)"
C12C[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Cl)(Cl)N=1CCS2,MAO,2000.0,Cc1ccccc1,303.15,4.0,0.5,541365.0,89.8,9.3,0.8,,9.6,Ni,"(N,P)"
N12[Cr](Cl)(O3CCCC3)(Cl)(OC3C(C(C)(C)C)=CC(C(C)(C)C)=CC=3C=1)N1=CC=C(C3C(C)=CC(C)=CC=3C)N1CC2,MAO,500.0,Cc1ccccc1,373.15,20.0,0.25,922845.0,15.5,17.3,17.0,83.3,93.8,Cr,"(N,N,O,O)"
C1C=C2[S+]([Cr](O3CCCC3)(Cl)(Cl)(Cl)N(C(C)(C)C)=CC2=CC=1)C1C=CC=CC=1,MAO,600.0,Cc1ccccc1,353.15,20.0,0.25,906015.0,21.9,20.9,19.2,,,Cr,"(N,O,S)"
C1C(CO)=N2[Ni](Cl)(Cl)N(C3C(C(C)(C)C)=CC(C(C)(C)C)=CC=3C(C)(C)C)=C3CCCC(C=1)=C23,MMAO,6000.0,Cc1ccccc1,303.15,10.0,0.5,1740000.0,18.1,81.9,,60.8,48.7,Ni,"(N,N)"
